"Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11"
"Frequency: Annual"
"Table: 38-10-0097-01 (formerly CANSIM 153-0114)"
"Release date: 2023-12-20"
"Geography: Canada, Province or territory"
""
""

"Geography","Sector","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Canada",,"Kilotonnes",,,,,,,,,,,,
,"Total, industries and households","738,765","753,887","764,322","765,177","774,546","775,519","780,254","753,719","766,876","780,372","775,612","693,849","708,880"
,"Total, industries","609,765","625,165","631,802","636,925","639,396","642,314","647,912","622,641","632,545","642,939","639,121","579,689","594,661"
,"Total, households","129,000","128,722","132,520","128,252","135,150","133,205","132,343","131,078","134,331","137,433","136,491","114,160","114,219"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","689,549","701,868","711,312","716,369","723,096","720,195","722,916","704,926","712,232","724,615","723,679","658,788","670,428"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-49,217","-52,019","-53,011","-48,808","-51,449","-55,324","-57,338","-48,795","-54,644","-55,756","-51,932","-35,061","-38,452"
"Newfoundland and Labrador","Total, industries and households","9,134","9,352","9,473","9,074","9,167","10,195","10,833","11,063","10,843","10,552","10,483","8,420","7,694"
,"Total, industries","7,050","7,306","7,084","6,711","6,914","7,674","8,423","8,614","8,115","8,005","8,022","6,224","5,590"
,"Total, households","2,083","2,046","2,389","2,364","2,253","2,522","2,409","2,449","2,728","2,547","2,461","2,195","2,104"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","9,785","9,693","9,962","9,565","9,658","10,650","10,765","10,893","10,805","10,563","11,027","8,820","8,336"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","651","341","489","490","490","455","-68","-170","-38","12","544","401","642"
"Prince Edward Island","Total, industries and households","1,864","1,880","2,067","1,909","1,597","1,573","1,513","1,615","1,667","1,658","1,692","1,648","1,661"
,"Total, industries","823","898","972","923","744","787","794","830","816","837","853","899","913"
,"Total, households","1,041","982","1,095","987","854","787","720","785","851","821","839","749","749"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","1,795","1,831","1,998","1,918","1,637","1,581","1,541","1,588","1,605","1,578","1,619","1,582","1,627"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-70","-49","-69","9","40","8","28","-27","-62","-80","-73","-66","-35"
"Nova Scotia","Total, industries and households","23,695","22,469","22,764","20,453","19,116","17,802","17,777","16,575","17,095","17,582","16,762","14,381","14,203"
,"Total, industries","18,926","17,707","17,397","15,328","14,334","13,357","12,802","11,928","12,323","12,665","11,984","10,267","10,130"
,"Total, households","4,770","4,762","5,367","5,125","4,782","4,445","4,975","4,648","4,772","4,918","4,777","4,114","4,073"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","20,413","20,080","20,703","18,986","18,056","16,291","16,477","15,346","15,908","16,427","16,180","14,631","14,600"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-3,283","-2,389","-2,061","-1,467","-1,060","-1,510","-1,300","-1,229","-1,187","-1,155","-581","250","397"
"New Brunswick","Total, industries and households","21,511","20,508","21,492","19,657","17,956","16,698","18,238","19,209","18,119","17,973","17,014","15,665","16,139"
,"Total, industries","17,868","16,662","16,798","15,096","13,868","12,567","13,489","14,825","14,386","14,436","13,768","12,910","13,527"
,"Total, households","3,644","3,846","4,694","4,561","4,087","4,131","4,748","4,384","3,733","3,537","3,246","2,755","2,612"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","17,910","17,469","17,574","15,902","14,012","13,476","13,835","14,617","13,532","13,304","12,848","11,223","11,869"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-3,601","-3,039","-3,918","-3,755","-3,944","-3,222","-4,402","-4,592","-4,587","-4,668","-4,166","-4,443","-4,270"
"Quebec","Total, industries and households","94,069","90,197","91,363","89,602","89,319","87,815","90,656","88,846","90,941","91,681","92,898","81,363","84,473"
,"Total, industries","67,583","64,745","64,522","63,414","62,316","61,144","64,093","62,838","64,729","65,459","66,491","59,845","62,140"
,"Total, households","26,486","25,451","26,841","26,188","27,003","26,670","26,563","26,008","26,212","26,222","26,407","21,518","22,334"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","81,446","78,715","80,609","79,291","79,403","77,117","77,411","77,309","79,283","80,539","81,856","74,307","77,478"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-12,623","-11,482","-10,754","-10,311","-9,916","-10,698","-13,246","-11,537","-11,658","-11,143","-11,041","-7,056","-6,996"
"Ontario","Total, industries and households","170,766","180,069","179,281","172,690","173,224","169,899","169,450","166,827","164,825","170,603","170,955","148,305","152,076"
,"Total, industries","121,503","130,604","127,909","125,724","121,618","119,361","119,088","117,601","114,356","118,072","119,159","106,794","111,017"
,"Total, households","49,263","49,465","51,372","46,966","51,606","50,538","50,362","49,226","50,469","52,531","51,797","41,511","41,059"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","164,814","172,408","171,213","167,596","167,745","163,628","162,926","160,384","156,146","162,866","163,252","146,567","150,562"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-5,953","-7,661","-8,067","-5,094","-5,479","-6,271","-6,524","-6,443","-8,678","-7,737","-7,704","-1,738","-1,514"
"Manitoba","Total, industries and households","19,336","18,891","18,925","20,427","20,935","21,088","20,650","21,044","21,505","22,365","22,232","20,674","20,226"
,"Total, industries","15,685","15,049","15,251","16,202","16,447","16,582","16,571","16,839","17,276","17,666","17,498","16,525","16,050"
,"Total, households","3,651","3,843","3,675","4,225","4,488","4,506","4,079","4,205","4,228","4,699","4,733","4,149","4,176"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","19,398","19,017","18,970","20,504","21,028","20,952","20,692","20,930","21,404","22,177","21,925","21,167","20,702"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","62","125","45","77","93","-136","43","-114","-100","-188","-307","493","475"
"Saskatchewan","Total, industries and households","69,348","69,164","68,801","72,646","74,912","76,792","78,797","73,907","77,437","78,743","75,606","66,252","69,101"
,"Total, industries","63,427","62,779","63,357","66,633","68,396","70,661","72,702","67,816","71,088","72,229","68,986","60,513","63,318"
,"Total, households","5,921","6,385","5,444","6,013","6,516","6,131","6,095","6,091","6,349","6,514","6,620","5,739","5,783"
